category_id,category_name
1,Academic - Ag & Life Sciences
2,Academic - Business
3,Academic - Design
4,Academic - Engineering
5,Academic - Human Sciences
6,Academic - Intercollegiate
7,Academic - LAS
8,Academic - Pre-Professional
9,Academic - Vet-Med
10,Council
11,Culture/Identity Based
12,Fraternities
13,Graduate and Professional
14,Honor Societies
15,Leadership
16,Media Production
17,Military
18,Music & Performing Arts
19,Political & Activism
20,Programming
21,Religious/Spiritual
22,Residence
23,Service & Volunteerism
24,Sororities
25,Special Interest
26,Sports & Recreation